,q_num,user,rank,feature_rank,activity
1,12.0,256196.0,1352.0,"[1, 3, 2]",edit
2,12.0,1369069.0,1460.0,"[3, 2, 1]",comment
3,12.0,1293744.0,1986.0,"[1, 3, 2]",answer
4,12.0,177800.0,2344.0,"[1, 3, 2]",comment
5,12.0,1394981.0,2588.0,"[3, 2, 1]",answer
0,13.0,374199.0,14.0,"[3, 2, 1]",comment
1,13.0,11114.0,1897.0,"[3, 2, 1]",answer
2,13.0,14955.0,2226.0,"[3, 1, 2]",comment
3,13.0,559070.0,2485.0,"[3, 2, 1]",comment
4,13.0,251173.0,3217.0,"[3, 1, 2]",answer
5,13.0,111988.0,3297.0,"[3, 2, 1]",answer
6,13.0,7412.0,3389.0,"[3, 2, 1]",answer
7,13.0,1977903.0,11534.0,"[1, 3, 2]",edit
8,13.0,1291727.0,36285.0,"[1, 3, 2]",answer
0,14.0,1047418.0,2014.0,"[3, 2, 1]",comment
1,14.0,136445.0,5755.0,"[1, 3, 2]",edit
2,14.0,4993880.0,49244.0,"[1, 3, 2]",answer
0,15.0,657266.0,1694.0,"[2, 3, 1]",edit
1,15.0,530734.0,2257.0,"[3, 2, 1]",edit
2,15.0,92018.0,2576.0,"[3, 2, 1]",comment
3,15.0,1140179.0,5867.0,"[1, 3, 2]",answer
0,16.0,260990.0,2692.0,"[1, 3, 2]",answer
1,16.0,243943.0,2768.0,"[3, 2, 1]",answer
2,16.0,991479.0,3577.0,"[3, 2, 1]",comment
3,16.0,1287593.0,7282.0,"[1, 3, 2]",edit
0,17.0,22176.0,1406.0,"[3, 2, 1]",answer
0,18.0,418556.0,0.0,"[1, 2, 3]",comment
1,18.0,714968.0,1007.0,"[1, 3, 2]",edit
2,18.0,438992.0,1063.0,"[1, 3, 2]",comment
3,18.0,1178364.0,1654.0,"[2, 3, 1]",edit
4,18.0,637853.0,2266.0,"[3, 1, 2]",comment
5,18.0,587365.0,2654.0,"[3, 2, 1]",edit
6,18.0,1167210.0,2736.0,"[3, 2, 1]",answer
7,18.0,638344.0,2817.0,"[3, 2, 1]",comment
8,18.0,276052.0,3008.0,"[1, 3, 2]",comment
9,18.0,251173.0,3622.0,"[3, 2, 1]",edit
0,19.0,511736.0,2635.0,"[3, 2, 1]",answer
1,19.0,733456.0,3304.0,"[3, 2, 1]",answer
2,19.0,1103702.0,3652.0,"[3, 2, 1]",comment
3,19.0,1278725.0,3872.0,"[3, 2, 1]",answer
4,19.0,416564.0,4501.0,"[3, 2, 1]",answer
5,19.0,218105.0,5351.0,"[3, 2, 1]",answer
6,19.0,442945.0,5617.0,"[1, 3, 2]",edit
7,19.0,716076.0,5624.0,"[1, 3, 2]",comment
0,20.0,1039952.0,3774.0,"[3, 2, 1]",answer
1,20.0,617373.0,4394.0,"[3, 2, 1]",comment
2,20.0,446885.0,5089.0,"[3, 2, 1]",comment
3,20.0,282677.0,5421.0,"[3, 2, 1]",comment
0,21.0,179850.0,1894.0,"[1, 3, 2]",answer
1,21.0,343955.0,1961.0,"[3, 1, 2]",answer
2,21.0,478399.0,2466.0,"[1, 3, 2]",answer
3,21.0,136247.0,3400.0,"[3, 2, 1]",answer
4,21.0,1250303.0,4524.0,"[1, 3, 2]",answer
0,22.0,418556.0,0.0,"[1, 2, 3]",edit
1,22.0,714968.0,2.0,"[1, 2, 3]",edit
2,22.0,1242826.0,2608.0,"[3, 2, 1]",answer
0,23.0,157882.0,1094.0,"[1, 3, 2]",edit
1,23.0,1249117.0,1147.0,"[3, 2, 1]",favorite
2,23.0,1439243.0,1429.0,"[2, 3, 1]",favorite
3,23.0,1341006.0,1681.0,"[3, 2, 1]",answer
4,23.0,1425488.0,1693.0,"[3, 2, 1]",answer
5,23.0,1136195.0,3327.0,"[3, 2, 1]",edit
6,23.0,114194.0,4072.0,"[3, 2, 1]",favorite
7,23.0,774183.0,4421.0,"[3, 2, 1]",answer
8,23.0,1348195.0,6650.0,"[1, 2, 3]",edit
9,23.0,946224.0,19780.0,"[1, 3, 2]",favorite
10,23.0,165130.0,27493.0,"[1, 3, 2]",favorite
11,23.0,1068446.0,32140.0,"[1, 3, 2]",favorite
12,23.0,1178448.0,37008.0,"[1, 3, 2]",answer
13,23.0,1870570.0,43990.0,"[1, 3, 2]",answer
14,23.0,1344509.0,44284.0,"[1, 2, 3]",favorite
15,23.0,3885376.0,54718.0,"[1, 3, 2]",favorite
16,23.0,571875.0,56556.0,"[1, 2, 3]",favorite
17,23.0,1623624.0,56973.0,"[1, 3, 2]",answer
0,24.0,418556.0,0.0,"[1, 2, 3]",comment
1,24.0,1178770.0,2899.0,"[2, 3, 1]",comment
2,24.0,177800.0,3004.0,"[3, 2, 1]",edit
3,24.0,320220.0,4022.0,"[3, 2, 1]",comment
4,24.0,895215.0,4994.0,"[3, 2, 1]",comment
5,24.0,1400768.0,31137.0,"[3, 1, 2]",edit
0,25.0,230513.0,512.0,"[1, 2, 3]",edit
1,25.0,869736.0,521.0,"[1, 3, 2]",answer
2,25.0,1119153.0,18993.0,"[1, 3, 2]",favorite
0,26.0,48933.0,6110.0,"[3, 2, 1]",answer
1,26.0,752920.0,6875.0,"[1, 3, 2]",edit
2,26.0,931258.0,7280.0,"[1, 3, 2]",comment
0,27.0,227140.0,2904.0,"[3, 2, 1]",answer
1,27.0,1062015.0,3820.0,"[3, 2, 1]",answer
0,28.0,63991.0,1644.0,"[3, 2, 1]",answer
1,28.0,702638.0,1837.0,"[3, 1, 2]",comment
2,28.0,771837.0,1840.0,"[1, 3, 2]",answer
3,28.0,1183263.0,2238.0,"[3, 2, 1]",edit
4,28.0,34397.0,2270.0,"[3, 1, 2]",comment
5,28.0,83695.0,2741.0,"[3, 2, 1]",edit
0,29.0,267197.0,2717.0,"[3, 2, 1]",edit
1,29.0,106261.0,3426.0,"[3, 2, 1]",answer
2,29.0,934796.0,4891.0,"[3, 2, 1]",answer
0,30.0,57695.0,2.0,"[1, 3, 2]",answer
1,30.0,750278.0,1707.0,"[3, 2, 1]",answer
2,30.0,1038251.0,1987.0,"[3, 2, 1]",answer
3,30.0,367273.0,2092.0,"[1, 3, 2]",answer
4,30.0,212952.0,2289.0,"[3, 2, 1]",answer
5,30.0,1167210.0,2569.0,"[3, 2, 1]",answer
6,30.0,930207.0,2764.0,"[3, 2, 1]",comment
7,30.0,1080948.0,2915.0,"[3, 2, 1]",comment
8,30.0,1066828.0,3255.0,"[3, 2, 1]",comment
9,30.0,907687.0,4054.0,"[3, 2, 1]",answer
10,30.0,608457.0,4262.0,"[3, 2, 1]",answer
11,30.0,44309.0,5303.0,"[1, 3, 2]",comment
0,31.0,179850.0,1954.0,"[1, 3, 2]",edit
0,32.0,59087.0,8875.0,"[1, 2, 3]",edit
1,32.0,143305.0,9059.0,"[1, 3, 2]",answer
2,32.0,1296564.0,12963.0,"[1, 3, 2]",answer
3,32.0,449355.0,16028.0,"[1, 2, 3]",favorite
4,32.0,1343059.0,42074.0,"[1, 3, 2]",answer
5,32.0,2230652.0,47060.0,"[3, 2, 1]",answer
0,33.0,343955.0,1416.0,"[3, 1, 2]",comment
1,33.0,296635.0,2069.0,"[3, 2, 1]",edit
2,33.0,306042.0,2769.0,"[3, 2, 1]",comment
3,33.0,1093528.0,2777.0,"[3, 2, 1]",comment
0,34.0,1101070.0,1947.0,"[1, 3, 2]",edit
1,34.0,580552.0,2818.0,"[1, 3, 2]",comment
0,35.0,3011423.0,27117.0,"[1, 3, 2]",answer
1,35.0,1140783.0,28847.0,"[1, 3, 2]",answer
0,36.0,714968.0,2.0,"[1, 3, 2]",edit
1,36.0,301607.0,2186.0,"[3, 2, 1]",answer
2,36.0,584862.0,2564.0,"[3, 2, 1]",comment
3,36.0,101095.0,3207.0,"[3, 2, 1]",answer
4,36.0,405022.0,3720.0,"[3, 2, 1]",answer
5,36.0,1146259.0,3725.0,"[3, 2, 1]",edit
6,36.0,1171314.0,27369.0,"[3, 2, 1]",answer
0,37.0,869736.0,1296.0,"[1, 3, 2]",comment
1,37.0,906048.0,2402.0,"[3, 2, 1]",comment
2,37.0,574479.0,3292.0,"[3, 2, 1]",comment
3,37.0,121747.0,3834.0,"[3, 2, 1]",answer
4,37.0,271357.0,4974.0,"[3, 2, 1]",answer
0,38.0,714968.0,2.0,"[1, 3, 2]",comment
1,38.0,1087370.0,31.0,"[3, 2, 1]",edit
2,38.0,928711.0,2344.0,"[1, 3, 2]",answer
3,38.0,546188.0,5624.0,"[3, 2, 1]",answer
0,39.0,932865.0,259.0,"[3, 2, 1]",comment
1,39.0,552438.0,4415.0,"[1, 3, 2]",comment
0,40.0,377628.0,2564.0,"[3, 2, 1]",edit
1,40.0,729881.0,3120.0,"[3, 1, 2]",comment
0,41.0,302916.0,1825.0,"[1, 3, 2]",comment
1,41.0,320180.0,3761.0,"[1, 3, 2]",edit
0,42.0,213158.0,252.0,"[3, 2, 1]",comment
1,42.0,1061499.0,3404.0,"[3, 2, 1]",edit
2,42.0,793824.0,3594.0,"[2, 3, 1]",favorite
3,42.0,1465623.0,4779.0,"[3, 2, 1]",answer
4,42.0,1875761.0,45455.0,"[1, 3, 2]",answer
0,43.0,347172.0,89.0,"[3, 2, 1]",answer
1,43.0,1128191.0,90.0,"[3, 2, 1]",answer
2,43.0,1037066.0,91.0,"[3, 2, 1]",answer
3,43.0,1152098.0,2458.0,"[3, 2, 1]",answer
4,43.0,416564.0,3159.0,"[3, 2, 1]",answer
0,44.0,522444.0,1.0,"[1, 3, 2]",comment
1,44.0,711129.0,3904.0,"[3, 2, 1]",edit
2,44.0,414967.0,4649.0,"[3, 2, 1]",comment
0,45.0,23271.0,2588.0,"[3, 2, 1]",answer
1,45.0,51292.0,2920.0,"[1, 3, 2]",answer
0,46.0,244128.0,2552.0,"[3, 2, 1]",answer
0,47.0,309412.0,4123.0,"[3, 2, 1]",edit
1,47.0,1304164.0,4190.0,"[3, 2, 1]",answer
2,47.0,1103263.0,6023.0,"[3, 2, 1]",comment
3,47.0,1193321.0,6746.0,"[1, 3, 2]",edit
0,48.0,16404.0,1262.0,"[3, 2, 1]",answer
1,48.0,330315.0,1898.0,"[1, 3, 2]",answer
2,48.0,118846.0,3128.0,"[1, 3, 2]",answer
0,49.0,527617.0,3126.0,"[3, 2, 1]",answer
1,49.0,632533.0,3456.0,"[3, 2, 1]",answer
2,49.0,1072991.0,6347.0,"[1, 3, 2]",answer
0,50.0,1295179.0,2468.0,"[3, 2, 1]",answer
1,50.0,852604.0,2580.0,"[3, 2, 1]",answer
2,50.0,611274.0,4210.0,"[3, 2, 1]",edit
3,50.0,1011829.0,16130.0,"[1, 3, 2]",favorite
0,51.0,14955.0,3710.0,"[1, 3, 2]",comment
1,51.0,51280.0,3781.0,"[3, 2, 1]",answer
2,51.0,944457.0,4892.0,"[3, 2, 1]",comment
0,52.0,714968.0,2.0,"[1, 2, 3]",edit
1,52.0,8840.0,1163.0,"[3, 2, 1]",comment
2,52.0,24396.0,3753.0,"[3, 2, 1]",edit
3,52.0,659804.0,3756.0,"[1, 3, 2]",answer
0,53.0,260990.0,1433.0,"[1, 3, 2]",comment
1,53.0,798162.0,2086.0,"[3, 2, 1]",comment
2,53.0,1468919.0,5340.0,"[1, 3, 2]",answer
0,54.0,1196963.0,3395.0,"[3, 2, 1]",comment
1,54.0,470184.0,3739.0,"[3, 2, 1]",edit
0,55.0,57695.0,3.0,"[1, 3, 2]",answer
1,55.0,144746.0,3285.0,"[3, 1, 2]",comment
2,55.0,445901.0,5318.0,"[3, 2, 1]",answer
0,56.0,620338.0,4014.0,"[3, 1, 2]",answer
0,57.0,203907.0,2574.0,"[1, 3, 2]",answer
1,57.0,506855.0,2734.0,"[3, 2, 1]",answer
2,57.0,505714.0,3014.0,"[3, 2, 1]",favorite
3,57.0,1055241.0,3525.0,"[3, 2, 1]",edit
4,57.0,180659.0,3871.0,"[3, 2, 1]",comment
0,58.0,714968.0,964.0,"[1, 2, 3]",favorite
1,58.0,157882.0,1000.0,"[1, 3, 2]",edit
2,58.0,1070957.0,2158.0,"[3, 2, 1]",answer
3,58.0,1065197.0,2530.0,"[1, 3, 2]",favorite
4,58.0,1037210.0,3641.0,"[3, 2, 1]",favorite
5,58.0,364056.0,5910.0,"[1, 3, 2]",favorite
6,58.0,1393766.0,51799.0,"[1, 3, 2]",favorite
7,58.0,1391249.0,53670.0,"[1, 2, 3]",favorite
0,59.0,1268154.0,1522.0,"[3, 2, 1]",answer
1,59.0,1209553.0,1539.0,"[3, 2, 1]",answer
2,59.0,53897.0,2001.0,"[1, 3, 2]",comment
3,59.0,1115406.0,12844.0,"[1, 3, 2]",answer
0,60.0,930847.0,3437.0,"[3, 2, 1]",answer
1,60.0,1093528.0,3805.0,"[3, 2, 1]",answer
0,61.0,555518.0,8159.0,"[1, 3, 2]",answer
1,61.0,842935.0,10530.0,"[1, 3, 2]",comment
2,61.0,1193945.0,17611.0,"[1, 3, 2]",answer
3,61.0,462477.0,17612.0,"[1, 3, 2]",answer
4,61.0,733798.0,17613.0,"[1, 3, 2]",answer
0,62.0,571407.0,1.0,"[1, 3, 2]",comment
1,62.0,590531.0,978.0,"[2, 3, 1]",edit
2,62.0,335858.0,2481.0,"[3, 1, 2]",answer
3,62.0,995822.0,3050.0,"[3, 2, 1]",answer
4,62.0,312172.0,3371.0,"[1, 3, 2]",comment
5,62.0,202009.0,3403.0,"[3, 2, 1]",comment
6,62.0,1007273.0,4080.0,"[3, 2, 1]",comment
7,62.0,294789.0,4090.0,"[3, 2, 1]",answer
8,62.0,545127.0,4532.0,"[3, 2, 1]",edit
9,62.0,582675.0,4676.0,"[3, 2, 1]",comment
10,62.0,998692.0,9293.0,"[1, 2, 3]",favorite
0,63.0,266198.0,4578.0,"[3, 2, 1]",answer
1,63.0,1812321.0,36223.0,"[1, 3, 2]",edit
0,64.0,360446.0,579.0,"[3, 2, 1]",comment
1,64.0,1094597.0,1541.0,"[1, 3, 2]",favorite
2,64.0,59325.0,3335.0,"[3, 2, 1]",answer
3,64.0,827480.0,3349.0,"[3, 2, 1]",answer
4,64.0,475150.0,5671.0,"[1, 3, 2]",comment
5,64.0,363437.0,6262.0,"[1, 3, 2]",answer
0,65.0,1144819.0,52.0,"[3, 2, 1]",comment
1,65.0,829571.0,1143.0,"[1, 3, 2]",answer
2,65.0,401667.0,1890.0,"[3, 2, 1]",comment
3,65.0,45664.0,2781.0,"[3, 2, 1]",answer
4,65.0,243943.0,2814.0,"[3, 1, 2]",answer
5,65.0,655172.0,3925.0,"[3, 2, 1]",answer
6,65.0,378897.0,4476.0,"[3, 2, 1]",answer
7,65.0,1000959.0,4491.0,"[3, 2, 1]",answer
0,66.0,927034.0,2672.0,"[3, 2, 1]",answer
1,66.0,382471.0,15291.0,"[1, 3, 2]",edit
0,67.0,1393129.0,1058.0,"[3, 2, 1]",answer
1,67.0,1021847.0,6133.0,"[1, 3, 2]",answer
0,68.0,930271.0,3945.0,"[3, 2, 1]",answer
1,68.0,1719370.0,51031.0,"[1, 3, 2]",answer
0,69.0,973479.0,2996.0,"[3, 2, 1]",edit
1,69.0,788324.0,4799.0,"[3, 2, 1]",edit
0,70.0,90313.0,3150.0,"[3, 2, 1]",answer
0,71.0,1218309.0,10.0,"[3, 2, 1]",comment
1,71.0,131433.0,3133.0,"[3, 2, 1]",comment
2,71.0,1071757.0,4424.0,"[1, 3, 2]",comment
3,71.0,308219.0,7386.0,"[1, 3, 2]",favorite
0,72.0,397016.0,2006.0,"[3, 2, 1]",edit
1,72.0,488265.0,8046.0,"[1, 3, 2]",answer
2,72.0,369933.0,14327.0,"[1, 3, 2]",answer
0,73.0,155684.0,778.0,"[3, 2, 1]",comment
1,73.0,1065180.0,2963.0,"[3, 2, 1]",favorite
2,73.0,1465623.0,3334.0,"[1, 3, 2]",comment
3,73.0,868975.0,10509.0,"[1, 3, 2]",favorite
0,74.0,135589.0,3163.0,"[3, 2, 1]",edit
1,74.0,1288446.0,3503.0,"[3, 2, 1]",edit
2,74.0,1100282.0,4173.0,"[3, 2, 1]",edit
3,74.0,626318.0,5146.0,"[3, 2, 1]",answer
0,75.0,1144584.0,426.0,"[2, 3, 1]",edit
1,75.0,54506.0,1699.0,"[3, 2, 1]",answer
2,75.0,1168884.0,3375.0,"[1, 3, 2]",answer
3,75.0,618598.0,3703.0,"[1, 3, 2]",answer
0,76.0,418556.0,0.0,"[1, 2, 3]",edit
1,76.0,714968.0,2.0,"[1, 3, 2]",answer
2,76.0,944593.0,5514.0,"[3, 2, 1]",answer
0,77.0,1178854.0,20.0,"[3, 2, 1]",comment
1,77.0,133840.0,4322.0,"[1, 3, 2]",comment
2,77.0,509344.0,4398.0,"[1, 3, 2]",comment
0,78.0,828571.0,232.0,"[3, 2, 1]",answer
1,78.0,201359.0,3186.0,"[3, 1, 2]",answer
2,78.0,797704.0,3205.0,"[3, 2, 1]",edit
3,78.0,776084.0,3541.0,"[3, 1, 2]",comment
4,78.0,1192702.0,3933.0,"[3, 2, 1]",answer
5,78.0,44089.0,4273.0,"[3, 2, 1]",answer
0,79.0,190381.0,57.0,"[3, 2, 1]",answer
1,79.0,447842.0,1137.0,"[3, 2, 1]",answer
2,79.0,996493.0,3506.0,"[3, 2, 1]",edit
3,79.0,816868.0,4056.0,"[3, 2, 1]",edit
4,79.0,485561.0,8892.0,"[1, 3, 2]",comment
5,79.0,1196440.0,10096.0,"[1, 3, 2]",favorite
6,79.0,1039361.0,14280.0,"[1, 3, 2]",edit
7,79.0,1010922.0,29876.0,"[1, 3, 2]",favorite
0,80.0,276052.0,2054.0,"[1, 3, 2]",comment
1,80.0,464988.0,2063.0,"[3, 1, 2]",edit
2,80.0,1181017.0,2789.0,"[3, 2, 1]",comment
3,80.0,359035.0,3745.0,"[1, 3, 2]",answer
4,80.0,193453.0,4392.0,"[1, 3, 2]",answer
0,81.0,390720.0,9280.0,"[1, 3, 2]",answer
0,82.0,953263.0,793.0,"[2, 3, 1]",favorite
1,82.0,535871.0,2423.0,"[1, 3, 2]",edit
2,82.0,97614.0,2784.0,"[3, 2, 1]",answer
3,82.0,222674.0,3255.0,"[3, 2, 1]",answer
4,82.0,1077737.0,5926.0,"[1, 3, 2]",answer
5,82.0,535024.0,15406.0,"[1, 3, 2]",favorite
0,83.0,139985.0,537.0,"[1, 3, 2]",answer
1,83.0,359035.0,1916.0,"[3, 2, 1]",answer
2,83.0,483708.0,5854.0,"[1, 3, 2]",favorite
3,83.0,36525.0,24230.0,"[1, 3, 2]",favorite
0,84.0,1285928.0,4711.0,"[3, 2, 1]",edit
0,85.0,571407.0,1.0,"[1, 3, 2]",answer
1,85.0,637853.0,2621.0,"[1, 3, 2]",comment
2,85.0,927326.0,3270.0,"[3, 2, 1]",comment
3,85.0,755401.0,4214.0,"[2, 3, 1]",answer
4,85.0,2098900.0,47786.0,"[1, 3, 2]",answer
0,86.0,157882.0,1194.0,"[1, 3, 2]",answer
1,86.0,412366.0,1297.0,"[3, 2, 1]",favorite
2,86.0,1391249.0,2888.0,"[2, 3, 1]",favorite
3,86.0,870122.0,3610.0,"[3, 2, 1]",favorite
4,86.0,88442.0,5071.0,"[1, 3, 2]",favorite
5,86.0,410946.0,8149.0,"[1, 3, 2]",favorite
0,87.0,139985.0,1578.0,"[1, 3, 2]",answer
1,87.0,602928.0,3743.0,"[3, 2, 1]",answer
2,87.0,1285418.0,4098.0,"[3, 2, 1]",answer
3,87.0,1216702.0,4917.0,"[3, 2, 1]",answer
4,87.0,1193136.0,6299.0,"[3, 2, 1]",favorite
0,88.0,1248964.0,516.0,"[3, 2, 1]",edit
1,88.0,426834.0,4077.0,"[1, 3, 2]",edit
0,89.0,35049.0,15859.0,"[1, 3, 2]",answer
0,90.0,816824.0,46.0,"[3, 2, 1]",answer
1,90.0,207421.0,1074.0,"[1, 3, 2]",comment
2,90.0,23637.0,2242.0,"[3, 2, 1]",comment
3,90.0,276052.0,2560.0,"[1, 3, 2]",comment
0,91.0,1166320.0,1775.0,"[3, 2, 1]",comment
1,91.0,575421.0,6125.0,"[3, 2, 1]",comment
0,93.0,211920.0,1863.0,"[3, 2, 1]",answer
0,94.0,1168299.0,582.0,"[3, 2, 1]",comment
1,94.0,328725.0,3279.0,"[1, 3, 2]",comment
2,94.0,872150.0,4592.0,"[1, 3, 2]",comment
0,95.0,438992.0,697.0,"[1, 3, 2]",edit
1,95.0,411902.0,2164.0,"[3, 2, 1]",favorite
2,95.0,453590.0,2497.0,"[3, 2, 1]",answer
0,96.0,395947.0,2138.0,"[3, 2, 1]",answer
1,96.0,462604.0,3123.0,"[3, 2, 1]",edit
2,96.0,144746.0,3467.0,"[3, 1, 2]",comment
3,96.0,318174.0,4581.0,"[3, 2, 1]",comment
4,96.0,1267329.0,5603.0,"[3, 2, 1]",comment
5,96.0,1502059.0,9826.0,"[1, 3, 2]",answer
6,96.0,1004235.0,12286.0,"[1, 3, 2]",answer
0,97.0,39371.0,3388.0,"[3, 2, 1]",favorite
1,97.0,109492.0,5844.0,"[1, 3, 2]",answer
2,97.0,955199.0,7496.0,"[1, 3, 2]",answer
0,98.0,157882.0,1055.0,"[1, 3, 2]",edit
0,99.0,1277859.0,3685.0,"[3, 2, 1]",favorite
0,100.0,1230360.0,3864.0,"[3, 2, 1]",edit
1,100.0,1303334.0,4876.0,"[3, 2, 1]",answer
0,101.0,571407.0,2.0,"[1, 3, 2]",comment
1,101.0,537445.0,309.0,"[3, 2, 1]",favorite
2,101.0,177800.0,1792.0,"[1, 3, 2]",edit
3,101.0,422437.0,4452.0,"[1, 3, 2]",favorite
0,102.0,230513.0,1189.0,"[1, 2, 3]",edit
1,102.0,109430.0,1804.0,"[2, 3, 1]",edit
2,102.0,37213.0,1913.0,"[1, 3, 2]",answer
3,102.0,574479.0,3922.0,"[1, 3, 2]",answer
4,102.0,2146216.0,13867.0,"[1, 3, 2]",answer
5,102.0,224354.0,13868.0,"[1, 3, 2]",answer
0,103.0,139985.0,443.0,"[1, 3, 2]",comment
1,103.0,1156645.0,527.0,"[3, 2, 1]",answer
2,103.0,68105.0,1618.0,"[3, 2, 1]",comment
3,103.0,167814.0,1759.0,"[3, 2, 1]",answer
0,104.0,1075956.0,2533.0,"[3, 2, 1]",answer
1,104.0,2136929.0,17567.0,"[1, 3, 2]",answer
0,105.0,57695.0,2.0,"[1, 3, 2]",answer
1,105.0,1206301.0,4700.0,"[3, 2, 1]",answer
2,105.0,87942.0,5047.0,"[3, 2, 1]",edit
3,105.0,266198.0,5149.0,"[3, 2, 1]",comment
4,105.0,774183.0,5683.0,"[3, 2, 1]",comment
5,105.0,812149.0,8094.0,"[1, 3, 2]",edit
0,106.0,576758.0,3697.0,"[3, 2, 1]",edit
1,106.0,504213.0,5876.0,"[1, 3, 2]",favorite
2,106.0,1167780.0,11256.0,"[1, 3, 2]",favorite
3,106.0,1265305.0,52515.0,"[1, 3, 2]",answer
0,107.0,1054140.0,5660.0,"[3, 2, 1]",answer
1,107.0,682495.0,6230.0,"[3, 2, 1]",answer
0,108.0,1364432.0,1886.0,"[2, 3, 1]",edit
1,108.0,1278943.0,3118.0,"[3, 2, 1]",edit
2,108.0,643742.0,4728.0,"[2, 3, 1]",edit
3,108.0,926120.0,7160.0,"[1, 2, 3]",comment
4,108.0,552733.0,10635.0,"[1, 3, 2]",answer
5,108.0,1273266.0,12891.0,"[1, 3, 2]",answer
0,109.0,418556.0,0.0,"[1, 2, 3]",comment
1,109.0,798528.0,2108.0,"[3, 2, 1]",edit
0,110.0,1176394.0,3120.0,"[3, 2, 1]",answer
0,111.0,314073.0,2315.0,"[3, 2, 1]",comment
1,111.0,690553.0,2613.0,"[3, 2, 1]",answer
2,111.0,1193136.0,3176.0,"[3, 2, 1]",answer
3,111.0,1071757.0,4270.0,"[1, 3, 2]",comment
4,111.0,298029.0,4531.0,"[3, 2, 1]",favorite
5,111.0,132903.0,7912.0,"[1, 3, 2]",answer
6,111.0,336423.0,13083.0,"[1, 3, 2]",answer
0,112.0,57695.0,1.0,"[1, 3, 2]",answer
1,112.0,1061977.0,2357.0,"[3, 2, 1]",answer
2,112.0,218592.0,3808.0,"[3, 2, 1]",comment
3,112.0,577423.0,4342.0,"[3, 2, 1]",answer
4,112.0,16076.0,4618.0,"[1, 3, 2]",comment
5,112.0,313205.0,6473.0,"[1, 3, 2]",comment
6,112.0,414972.0,6962.0,"[1, 3, 2]",comment
0,113.0,116509.0,2990.0,"[3, 2, 1]",answer
1,113.0,588481.0,3552.0,"[3, 2, 1]",edit
2,113.0,1118801.0,5735.0,"[1, 3, 2]",comment
0,114.0,714968.0,977.0,"[1, 2, 3]",edit
1,114.0,301607.0,2464.0,"[3, 2, 1]",edit
2,114.0,1025201.0,2986.0,"[3, 1, 2]",answer
3,114.0,909085.0,3009.0,"[3, 2, 1]",comment
4,114.0,1121165.0,3039.0,"[3, 2, 1]",edit
0,115.0,1131834.0,24.0,"[3, 2, 1]",edit
1,115.0,139985.0,831.0,"[1, 3, 2]",answer
2,115.0,111988.0,2972.0,"[3, 2, 1]",answer
3,115.0,3885376.0,28245.0,"[1, 3, 2]",edit
4,115.0,1886501.0,57999.0,"[1, 3, 2]",answer
0,116.0,1385557.0,1357.0,"[3, 2, 1]",edit
1,116.0,658907.0,2932.0,"[3, 2, 1]",comment
0,117.0,1396787.0,335.0,"[3, 2, 1]",answer
1,117.0,1166926.0,3682.0,"[3, 2, 1]",answer
2,117.0,67063.0,6279.0,"[1, 3, 2]",favorite
0,118.0,1151865.0,1084.0,"[3, 2, 1]",comment
0,119.0,438992.0,601.0,"[1, 3, 2]",comment
1,119.0,1147717.0,1404.0,"[3, 2, 1]",comment
